Call_month,No.of Calls,Handle_Time,AHT(s),Claims
1/1/2017,81509,82650126,1014,82324
2/1/2017,81937,80380197,981,86853
3/1/2017,82597,80862463,979,93335
4/1/2017,83754,81743904,976,116418
5/1/2017,84951,81637911,961,102791
6/1/2017,87523,85159879,973,109404
7/1/2017,84527,80638758,954,97206
8/1/2017,86522,81849812,946,102961
9/1/2017,89530,83531490,933,94007
10/1/2017,91005,85271685,937,104656
11/1/2017,94567,89744083,949,124828
12/1/2017,96354,92307132,958,138750
1/1/2018,95347,89721527,941,102934
2/1/2018,91375,85344250,934,109680
3/1/2018,96521,89378446,926,125365
4/1/2018,98523,90148545,915,113890
5/1/2018,97531,88753210,910,129243
6/1/2018,100785,91411995,907,129220
7/1/2018,113211,101889600,900,133153
8/1/2018,110852,100099356,903,119684
9/1/2018,116820,106258140,910,109869
10/1/2018,111960,105617665,943,107285
11/1/2018,118525,111661270,942,104781
12/1/2018,123935,107771965,870,107914
1/1/2019,120505,106637465,885,130094
2/1/2019,95015,83484185,879,114049
3/1/2019,101605,89559930,881,131968
4/1/2019,111815,94106750,842,129255
5/1/2019,102005,83587165,819,135172
6/1/2019,109187,81122183,743,139992
7/1/2019,129282,98600237,763,152055
8/1/2019,131392,101636707,774,141861
9/1/2019,126828,98031173,773,119282
10/1/2019,130271,100679576,773,126487
11/1/2019,118484,90302589,762,124311
12/1/2019,131872,91434492,693,132334
1/1/2020,135216,87955400,650,136047
2/1/2020,112682,72842568,646,119239
3/1/2020,107485,71822710,668,121654
4/1/2020,95008,71705402,755,128962
5/1/2020,120696,85055663,705,150566
6/1/2020,131255,87640333,668,157375
7/1/2020,144345,99883542,692,166894
8/1/2020,142002,99427383,700,165363
9/1/2020,143556,106017516,739,148804
10/1/2020,143414,104802600,731,163618
11/1/2020,128854,95925089,744,163954
12/1/2020,123399,95512832,774,165887
1/1/2021,119465,88707531,743,166775
2/1/2021,105484,75896633,720,144021
3/1/2021,117273,81297070,693,165005
4/1/2021,105012,69835722,665,154681
5/1/2021,104393,70516871,675,159029
6/1/2021,111601,80150297,718,169552
7/1/2021,110180,79129470,718,172511
8/1/2021,116530,82297574,706,170687
9/1/2021,111950,79405559,709,156562
10/1/2021,,,698,160254
11/1/2021,,,699,165487
12/1/2021,,,703,170235
1/1/2022,,,707,174032
2/1/2022,,,706,162003
3/1/2022,,,704,159204
